pathway	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S57	S58	S58.new	S59	S59.new	S6	S60	S60.new	S61	S62	S63	S64	S65	S67	S69	S7	S70	S71	S72	S75	S76	S77	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S56
ko04122	1029.8291	949.4482	1055.4145	1498.3045	471.1618	1661.3582	462.76	1371.7718	1460.7755	1276.46	1099.75	1125.2255	1405.8827	1154.9109	1605.5309	1126.2864	742.2236	1512.6991	1483.9173	1263.0891	1779.7682	1440.3591	1655.6036	1561.8855	1012.7555	1353.2345	581.8591	1403.4464	906.0373	871.3391	1013.4018	1010.6209	1259.5264	1533.5236	1217.33	1201.0255	1013.4182	920.8045	1301.6264	1500.9518	1140.7245	968.7036	1102.8018	1283.0518	1273.8591	1057.8609	1343.2082	492.0836	852.2164	1122.8491	1156.6191	1045.2091	1301.1727	690.1273	1073.9836	785.5191	1500.8027	648.9036	660.4291	814.4436	1159.0045	1151.8527	1256.2045	629.7327	1204.2318	526.7073	1616.9382	978.6118	1321.85	572.6318	547.5318	1478.3918	748.1355	947.7227	1064.6118	779.3027	1122.25	695.2609	963.2409	1134.1727	783.6464	1181.5636	919.0245	1423.4182	1465.9191	510.3218	1615.3455	1097.5773	1268.1645
ko04141	34.3542	40.4474	57.2507	66.6477	18.4551	48.7694	18.4449	36.7104	33.3688	37.7242	27.3299	47.1259	45.3739	38.8409	44.793	34.4533	24.1814	36.211	46.6733	27.22	32.8472	54.049	46.9461	40.2996	30.5223	37.6771	14.0277	54.1928	34.8791	30.482	32.3665	24.9813	35.6013	55.5301	30.4991	44.3488	26.9019	19.4543	36.0304	52.3748	37.2006	22.4126	33.1209	47.1264	35.3326	27.3065	41.7932	25.5794	35.1122	60.9694	68.0213	49.4752	59.7297	72.9994	72.8545	22.9674	47.2267	51.0436	37.3454	26.0613	85.0136	77.9823	77.1367	39.1099	72.3928	49.3371	54.518	35.3671	65.8907	40.6645	44.43	76.3632	42.147	67.6287	82.4188	27.697	60.5045	46.2693	56.5667	54.7871	60.4474	76.9422	52.5306	66.9303	69.7559	43.7314	40.5628	63.5778	84.2345
ko04142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.5442	0.0	26.6376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04144	3.8054	1.13	2.1565	0.487	0.9145	5.6706	0.3329	6.858	3.7555	2.372	6.1261	2.3362	3.0667	1.0319	0.7928	3.7952	0.559	2.3599	5.3294	5.3754	2.8058	2.2507	2.0899	2.3903	4.7942	3.2464	10.0642	1.3203	4.7599	1.4623	2.8638	11.4077	1.057	2.6449	13.683	7.7754	8.3851	10.13	0.7174	1.217	3.1565	9.1054	5.2159	1.6416	3.5913	4.0725	4.3996	0.6913	4.5594	2.0145	2.6657	2.4754	0.3246	0.4319	0.9043	0.0396	1.9101	0.7449	0.113	2.0333	0.3025	0.4696	0.4923	0.1648	0.1159	0.0338	1.1793	0.0	0.7623	0.0725	0.087	0.2859	0.0696	0.4888	0.3478	0.7043	0.4483	0.0812	0.1884	0.0464	0.0	0.0	0.0464	2.6043	0.058	0.0464	1.6048	0.8638	3.7343
ko04146	166.9649	166.28	312.8603	197.5729	104.646	203.6194	105.0914	193.2954	192.5734	158.9931	152.8203	106.6077	165.6137	185.8174	234.534	148.7666	126.8631	189.7983	184.8851	171.1949	140.3846	234.3394	190.3469	164.3057	134.4097	166.1151	104.7989	235.9229	164.4729	156.6106	155.9417	166.8146	243.4149	178.1537	188.832	168.8637	176.6194	180.5311	176.6923	164.9234	147.668	139.6843	149.9023	152.9903	163.8451	141.8043	175.5929	120.6546	153.8091	213.5831	283.5714	239.5694	277.5583	296.358	294.5454	180.074	152.9646	213.5937	156.3271	124.8246	382.7294	357.6131	277.7249	178.9026	324.5686	222.7243	240.7509	228.4026	237.5929	157.0997	184.0897	225.1211	215.6586	279.624	383.43	182.6966	214.5209	184.4914	210.0166	254.504	302.2174	397.8671	199.9997	226.7171	357.1486	182.3431	557.0437	243.4651	317.282
ko04210	1.6961	12.329	64.1223	18.1068	0.8687	0.2484	0.6413	6.1984	0.3484	3.0952	0.6774	4.8194	3.1494	5.8113	5.1935	0.7242	1.7765	3.73	6.6106	0.4645	0.5394	27.3552	4.7548	0.2974	0.5613	0.2581	0.8606	24.9629	8.4474	3.8932	4.0129	0.7855	0.529	4.429	0.2581	4.6026	1.65	0.0645	3.2548	2.2713	0.9055	1.0403	3.5748	5.3403	1.3355	8.9216	4.6287	10.7526	10.6345	32.6916	39.9232	39.8226	59.2719	67.9948	63.259	12.6694	2.209	42.9861	40.2832	7.4597	88.8894	65.9868	50.2568	28.6319	72.6242	60.4652	1.2323	30.8913	36.4145	32.9429	25.7577	35.9123	44.9352	55.039	82.4384	2.1194	33.5761	51.7184	42.5832	36.6913	66.7555	86.9094	36.2065	31.769	49.6787	23.6874	1.6468	41.9006	52.9274
ko04510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0149	0.0299	0.0	0.0	0.0	0.0	0.0	0.0299	0.0	0.0	0.0	0.0	0.0	0.0149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357	0.0	0.0
ko04614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.1111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1667	0.0	0.0	0.0	0.0556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04621	54.4965	69.8019	102.5319	104.8146	0.0	94.9638	0.0	82.0746	0.0	0.0	62.6619	74.1096	85.3096	68.1912	94.6177	0.0	57.7412	89.8631	92.1192	0.0	33.0719	98.1531	0.0	86.2723	0.0	92.0658	19.4	99.1819	60.3669	56.1319	0.0	46.9642	0.0	0.0	59.1569	73.4131	0.0	0.0	87.8712	0.0	78.0404	50.8846	59.7865	85.5923	75.4242	58.9504	0.0	54.7096	56.0727	94.42	114.7435	84.145	103.1927	152.2538	109.2862	49.545	99.7846	70.2531	0.0	49.0419	103.4762	100.3335	112.1796	67.8896	110.9558	76.1796	0.0	74.4062	100.4108	48.9288	41.29	102.5273	65.82	98.8462	0.0	53.5262	93.2962	0.0	81.9869	81.5658	83.7288	103.3623	78.3662	104.2358	127.0096	38.0842	47.1981	87.6785	97.1742
ko04626	185.282	227.8903	196.1957	287.2729	100.0957	234.3871	84.056	214.4803	194.4657	213.0289	169.896	203.5329	231.1231	193.3531	226.1489	224.5797	120.7077	229.8966	280.9211	176.6483	203.9403	247.9649	284.988	230.0797	203.8254	221.9263	104.9631	223.9183	170.0763	149.7177	170.3506	148.6189	207.998	289.2449	205.7431	216.7383	159.1711	133.5629	184.5237	271.8817	231.962	144.6729	173.1589	234.8243	221.1631	168.3877	204.7749	98.454	155.5346	223.4194	233.9891	197.8789	218.7774	177.5631	200.4897	117.446	268.998	157.3917	165.0989	144.49	227.3231	220.6817	238.1486	134.8694	231.38	115.1457	258.4054	244.2866	263.4249	125.0017	148.3906	278.1251	142.932	180.4937	209.6657	130.1586	253.802	136.2654	193.7686	200.4897	147.5271	214.4546	188.1766	271.7177	233.7109	144.0877	252.4223	191.3637	228.1983
ko04910	84.8536	87.2274	122.5254	127.1269	86.9695	159.5079	82.4138	120.4721	112.2533	107.0177	104.8326	91.5236	123.0738	102.0218	131.1682	111.0059	89.1928	120.3808	140.8921	97.5169	66.2633	133.5446	133.9221	127.6823	95.2887	118.0323	46.2259	127.4126	91.3295	79.2159	88.3908	87.3546	115.0203	149.9467	105.9136	105.3833	61.831	88.8492	113.0862	112.7823	105.109	91.9854	89.7731	116.5087	103.1159	73.2013	118.5277	88.7379	82.3823	120.9026	123.5154	100.3128	105.1941	86.9159	99.9344	102.7326	126.7246	84.3269	52.1415	76.2449	111.6731	109.5851	116.3485	87.5169	127.959	58.7008	127.43	57.9885	130.8528	55.1059	50.7082	115.6721	59.0479	106.5685	136.6031	89.47	108.0323	64.8326	97.7767	77.7669	79.2715	97.36	84.4431	140.5728	96.4803	47.6126	94.4182	112.6495	136.821
ko04962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04970	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0667	0.0	0.0	0.0	0.0	0.0	0.8667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0667	0.3667	0.0	0.9667	0.1333	0.0	0.0	1.0333	0.0	0.0	0.0	0.0	5.0667	1.7333	0.0	0.0	0.0	0.2667	0.0	0.0	0.0667	0.0	0.0	0.8333	0.0	0.2333	0.0	0.0	0.0	0.3667	0.0	0.0	1.2	4.7	0.0	0.0	1.1667	0.0	0.0	0.0	0.0
ko04974	8.768	14.978	86.42	41.676	2.8572	7.388	0.814	8.744	0.832	6.698	1.73	5.9612	6.4452	20.768	17.422	1.728	3.238	6.6356	11.35	1.356	0.9208	45.6908	22.04	0.4664	1.006	0.8	1.3392	52.2196	17.7844	7.0908	11.404	7.8024	19.4	6.672	2.84	2.8308	6.568	2.68	5.686	3.87	1.7424	2.29	8.3604	5.412	1.516	3.3968	8.8344	12.7252	20.7064	59.9576	75.828	66.6924	77.6864	94.27	108.336	15.36	3.3792	65.8624	49.3248	10.334	172.4948	151.5604	85.322	46.6236	106.296	118.3236	5.248	32.2184	71.6208	49.4224	60.9168	63.2716	77.9856	92.6564	169.8072	15.988	56.0796	63.9272	66.2392	77.8448	135.6796	138.2836	64.976	52.0776	108.9552	64.0452	4.762	81.7324	135.5144
ko05012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5263	0.0	0.0	0.0	0.0	0.8421	0.0	0.0	0.193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1404	1.6842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0351	0.2807	0.0	0.0175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2281	0.0	0.0	1.1579	0.0	0.0	0.0	0.2895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko05100	54.8376	1.5697	4.1464	0.0485	7.1279	3.4006	1.3879	11.5918	5.8712	3.6145	16.6618	2.4667	6.503	1.703	0.9152	4.4	1.2127	4.6	4.3758	10.7436	3.3212	0.4788	4.0061	4.6964	6.5758	9.6452	17.5909	1.0788	20.6967	23.2545	5.4615	14.4976	4.9515	0.3376	21.1758	10.0158	8.2848	23.0545	1.4545	13.9333	10.7515	11.7858	12.357	9.4612	5.4597	13.1433	8.7885	6.0667	15.2733	1.3679	4.8055	3.6424	0.5009	4.1945	0.9703	0.0727	1.043	1.0121	0.1455	5.2797	0.2242	6.6473	0.0848	2.2976	0.0606	0.2842	13.8167	0.0152	3.3933	6.2491	3.9509	0.0121	0.0242	1.4479	2.4055	2.2491	0.4121	3.3109	0.1715	0.8242	0.4242	0.0	0.0364	1.0061	1.6627	4.4	2.2848	5.9994	1.7345
ko05110	0.0	0.2083	2.0208	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.3333	0.0	0.0	0.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833	0.0	0.0	1.4167	0.0	0.0	1.1667	0.0	0.0	0.0	0.0	0.0	0.0	0.0346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.125	0.125	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.875	0.0	0.0333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.375	0.0	0.0	0.0	0.0	0.0	0.0
ko05111	0.0	0.0	0.0	226.751	0.0	0.0	71.501	159.6038	0.0	0.0	127.0376	129.779	157.5067	0.0	150.3086	188.2357	0.0	152.5848	0.0	111.5038	0.0	212.1919	228.7133	0.0	0.0	190.5262	69.8767	0.0	157.7038	0.0	109.4805	97.97	0.0	0.0	167.1986	165.21	0.0	95.679	136.2705	0.0	170.2962	0.0	129.8052	189.7938	139.001	115.9414	138.0638	0.0	117.11	183.8529	208.999	0.0	226.2343	0.0	0.0	118.4738	0.0	117.3833	232.3471	109.8743	231.0967	190.5452	0.0	107.7057	173.1071	130.5486	136.009	488.8429	230.4614	0.0	81.6171	232.8686	120.4886	154.0395	181.4943	0.0	164.2833	119.8067	161.3629	154.8614	0.0	213.8376	155.5538	187.3471	176.0119	0.0	301.35	139.1319	202.9695
ko05120	155.2536	148.2525	161.0418	200.0057	90.2311	237.3396	88.3568	206.5671	251.3779	173.0596	148.1621	130.1632	180.6296	175.3793	254.5229	146.3732	114.51	231.9411	194.8786	161.2975	104.6307	188.6361	241.0129	207.6511	153.5032	224.4696	81.0207	183.3636	128.8764	140.2964	148.365	153.5339	198.6968	199.3932	159.5114	164.1832	113.9807	122.9182	227.1296	183.6907	173.2461	133.3114	140.6732	190.3818	174.0889	149.7186	208.0111	98.2357	113.8407	160.5804	191.9896	157.4989	189.8471	175.8786	174.1532	103.4296	214.4986	134.4429	119.1036	113.8789	194.4925	170.7196	196.1493	113.5057	171.4964	107.8575	319.4011	128.8168	183.0664	104.3289	107.6371	189.8971	118.7486	160.9243	167.5021	119.6721	170.2482	113.9214	151.0057	165.1386	135.3514	185.7354	141.5671	186.7654	191.3454	107.6129	191.0214	160.2479	181.9036
ko05130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8421	0.0	0.0	3.1053	0.0	0.0	1.6668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9647	0.6668	0.0	0.0	0.0	0.0	0.0	4.3511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3363	0.0	0.0	0.0	0.0
ko05131	51.0187	0.0	0.0	0.0	5.59	0.5577	1.2581	4.1935	0.6545	0.0	6.539	0.0	0.0	0.0	0.0	0.0	0.5577	1.1197	0.0	1.1197	0.0	0.0	3.0323	1.9584	0.0	2.6774	1.1155	0.4194	5.9261	21.3871	2.6545	1.9584	0.0	0.0	3.0968	0.8387	0.4194	4.6129	0.4194	13.0	5.871	0.0	4.0552	6.461	1.6358	2.3735	1.8158	5.4516	6.7097	0.4194	1.5713	0.0	0.281	3.9126	0.5577	0.0	0.5577	0.0	0.0	2.2674	0.0	5.3132	0.0	2.2352	0.0	0.281	1.82	0.0	0.7003	6.0352	3.6358	0.0	0.0	1.1842	2.3777	1.3965	0.0	3.2165	0.0	0.0	0.4194	0.0	0.0	0.4194	1.1397	4.1935	0.0	5.3132	0.6961
ko05142	0.0	0.0	0.0	0.0	0.3495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2683	0.3598	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko05143	25.3633	2.5833	14.0717	6.5	0.0	10.2461	7.5906	4.7378	2.5794	2.98	4.4217	2.7722	4.9461	29.875	33.5972	0.3028	0.6361	2.9561	2.7989	4.3522	1.425	14.4261	1.6667	1.0983	0.4417	2.7017	4.8422	0.8611	11.5994	4.7639	6.4167	15.2011	26.9706	6.6567	18.25	4.26	3.1544	20.5039	3.9056	16.1111	2.6322	4.2861	2.825	4.6572	2.5556	1.9022	1.6833	1.5906	2.6672	3.1428	7.015	2.685	3.9678	1.1711	0.7267	0.0	1.8794	0.8611	0.5833	3.3889	1.2289	0.0	1.5278	1.685	5.6389	0.1206	9.3428	15.875	5.4261	2.7867	3.065	4.0	0.0	2.6761	1.1483	18.7867	2.2222	1.4961	2.1489	8.7917	0.0	0.0	2.1944	4.4583	2.2617	2.1667	7.1806	12.3567	4.22
ko05146	4.9359	7.7051	27.5813	15.4244	1.5933	13.1667	0.8879	12.0546	24.3974	7.72	4.4936	3.6623	7.17	8.7423	14.3115	3.5513	3.0415	15.4264	9.0854	5.4231	5.7297	16.2928	12.1256	9.1313	2.7885	13.7949	2.2023	14.2805	8.6205	14.4597	11.8795	7.5572	11.2308	9.9103	4.9744	6.5769	4.9038	9.1903	17.7159	13.6251	5.2595	7.1923	7.2633	8.359	9.4359	5.5349	15.1792	4.4746	7.1977	18.2774	13.7951	23.7628	22.1154	6.5351	15.7803	2.6346	9.9779	29.4908	0.7962	11.6923	7.3715	15.3554	14.9828	10.3718	19.3372	13.4423	15.0064	3.5833	11.6095	4.2308	4.4136	9.46	1.9903	13.6921	13.04	3.0449	9.1549	3.4738	4.5613	9.5159	10.0128	18.7582	7.4444	12.1785	21.1544	2.9774	37.0128	11.25	7.2746
ko05150	33.4403	73.5952	28.4361	2.4282	8.9409	25.11	17.1891	59.7685	52.1324	49.3682	53.3642	26.4536	74.4603	10.8761	7.663	83.2552	14.0142	24.8406	32.0118	72.8767	317.0021	30.0403	12.3212	66.3003	38.1152	32.1906	112.1915	24.3082	68.77	29.9148	33.0442	79.8055	77.4955	25.1942	92.6533	44.0897	155.6873	75.1573	13.9724	34.6388	65.873	65.4212	86.4888	30.6106	56.5942	72.0218	47.3985	3.9215	67.0203	7.6361	17.0464	18.9324	2.4076	6.3	3.5179	4.2985	13.9064	7.5058	3.4112	63.1891	14.1836	15.8236	2.927	2.8015	4.1212	0.9136	78.1455	3.0973	22.9636	4.6009	29.7803	7.4297	3.5424	19.6618	1.4242	17.86	3.9455	6.4485	1.4136	2.6545	2.5003	3.1667	1.2979	7.1085	3.4979	29.1848	114.1118	4.9088	5.8585
ko05322	0.0	0.0	0.4039	0.0	0.0	0.0	0.0	0.1304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko05410	0.0	0.1316	0.3158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0658	0.0	0.0	0.0	0.0	0.0132	0.0	0.0	0.0	0.1184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2105	0.0	0.1447	0.1053	0.0	0.0	0.0395	0.0	0.0	0.0	0.0	0.0	0.4605	0.0658	0.0	0.0	0.0	0.0	0.0	0.9868	0.0	0.0	0.0658	0.1184	0.0	0.0	0.0	0.2632	0.1053	0.0921	0.0	0.0	0.1974	0.1053	0.3553	0.1053	0.0	0.0	0.0	0.0
